,compound,neg,neu,pos,id
859,0.9918,0.035,0.921,0.044,S4bqm6iSus0
860,0.9975,0.073,0.813,0.114,S79hAIZBRN0
861,0.9649,0.003,0.974,0.023,S8oEW-QX06M
862,0.6479,0.019,0.959,0.022,SBLUHB8sC4U
863,0.8089,0.007,0.98,0.013,SBNPg2gOZP8
864,0.9132,0.061,0.863,0.075,SD9ecSjB0DM
865,-0.9983,0.046,0.948,0.006,SFr6R9E1gD0
866,0.9998,0.071,0.685,0.244,SJvHeuCLJAs
867,-0.3919,0.019,0.981,0.0,SN3sX4PeRtc
868,0.9927,0.005,0.939,0.056,SQEIsL8cgBQ
869,0.9807,0.0,0.972,0.028,STKdtxS-AOY
870,0.9913,0.005,0.952,0.043,STiZ62a1u-U
871,0.8767,0.0,0.997,0.003,SUf7_f4_KYI
872,0.9916,0.014,0.925,0.061,S_Bzy7MuWvg
873,-0.9886,0.05,0.917,0.032,SaKuKnZFobc
874,0.9929,0.017,0.903,0.08,ScCHYXjEBXI
875,0.9998,0.041,0.774,0.184,ScsX5jTQgGg
876,-0.9988,0.038,0.949,0.013,Sd_2XNacll8
877,0.9867,0.005,0.923,0.072,Se4C0ZNcY7Y
878,0.0,0.0,1.0,0.0,Sf62sng53iw
879,0.0,0.0,1.0,0.0,SfXK2rFd2eo
880,0.0,0.0,1.0,0.0,SjLPCEwoAko
881,0.9593,0.013,0.968,0.019,Sm1-QC21BtM
882,0.0,0.0,1.0,0.0,SpP2a1sq4_4
883,0.9893,0.013,0.918,0.07,SvmEJkqUkNU
884,-0.9989,0.074,0.888,0.038,SxH7wJRc8No
885,0.9999,0.061,0.725,0.214,Szkx1B7CO1Q
886,0.0,0.0,1.0,0.0,T0A483j7-Tk
887,0.8137,0.006,0.975,0.019,T2YzUU58ViU
888,0.8209,0.014,0.948,0.038,T3rNxbSXpOU
889,0.9999,0.054,0.677,0.268,T4GaCu0uq3s
890,1.0,0.027,0.892,0.081,T6b87mU14-w
891,0.7922,0.0,0.996,0.004,T8FfsLYig48
892,-0.8805,0.033,0.945,0.022,T8wfW4jqq44
893,0.0,0.0,1.0,0.0,TCWmsCI1Smc
894,0.9932,0.01,0.919,0.071,TDYKKXS3Ru8
895,0.9995,0.002,0.879,0.119,TGN3TaV_7TE
896,0.9698,0.024,0.934,0.042,TGhe2gi5Iio
897,0.0,0.0,1.0,0.0,TISqQi2nzXQ
898,1.0,0.09,0.757,0.153,TNTKRj2lS1g
899,1.0,0.065,0.669,0.266,TQjqT17gO9A
900,0.5255,0.0,0.998,0.002,TVOdaVlTpr4
